fecha_corte;entidad;provincia;canton;segmento;por_vencer;no_devenga_intereses;vencida;total_saldo;archivo_origen
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;CARCHI;TULCAN;CONSUMO;0.0;714.72;10154.5;10869.22;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;GUAYAS;GUAYAQUIL;CONSUMO;0.0;0.0;4759.02;4759.02;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;IMBABURA;IBARRA;CONSUMO;0.0;0.0;7023.66;7023.66;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;LOS RIOS;QUEVEDO;CONSUMO;0.0;0.0;434.94;434.94;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;MANABI;PORTOVIEJO;CONSUMO;0.0;0.0;2615.69;2615.69;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;PICHINCHA;QUITO;CONSUMO;14275.07;0.0;12949.09;27224.16;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;SANTA ELENA;LA LIBERTAD;CONSUMO;0.0;0.0;2.0;2.0;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO AMIBANK S.A., EN LIQUIDACION;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;CONSUMO;0.0;0.0;102.62;102.62;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;EL ORO;MACHALA;CONSUMO;158845.01;0.0;0.0;158845.01;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;GUAYAS;GUAYAQUIL;CONSUMO;12979164.84;3677.96;40.18;12982882.98;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
